algorithm,metric,mean,std,min,max
round_robin,throughput,60.1722,31.1633,0.0,88.0
round_robin,avg_rtt,23.4831,0.7561,22.637,28.288
round_robin,p95_rtt,26.6301,1.9287,25.329,39.602
round_robin,fairness_index,1.0,0.0,0.9997,1.0
round_robin,max_imbalance,15.2278,15.6939,0.0,97.0
round_robin,decision_latency_us,2609.5667,417.7067,2161.7,3164.9
weighted_round_robin,throughput,59.5278,29.1163,0.0,88.0
weighted_round_robin,avg_rtt,23.4866,0.9013,22.532,28.951
weighted_round_robin,p95_rtt,26.6701,2.2882,25.157,40.484
weighted_round_robin,fairness_index,1.0,0.0,0.9997,1.0
weighted_round_robin,max_imbalance,20.3556,21.3486,0.0,96.0
weighted_round_robin,decision_latency_us,2609.3667,217.5893,2343.7,2875.2
random,throughput,61.2444,32.4741,0.0,90.0
random,avg_rtt,22.3905,1.3602,19.88,24.159
random,p95_rtt,26.2927,0.4276,25.285,27.493
random,fairness_index,0.9982,0.005,0.9539,1.0
random,max_imbalance,62.4833,81.8052,0.0,1107.0
random,decision_latency_us,2565.5667,99.9006,2467.2,2702.1
least_connections,throughput,60.8222,30.0828,0.0,92.0
least_connections,avg_rtt,22.402,1.3845,19.824,26.035
least_connections,p95_rtt,26.3064,0.6996,25.099,33.314
least_connections,fairness_index,0.9977,0.0096,0.8783,1.0
least_connections,max_imbalance,74.2222,85.2142,0.0,1115.0
least_connections,decision_latency_us,2435.6,40.313,2401.2,2492.0
hash_based,throughput,61.7222,32.4235,0.0,97.0
hash_based,avg_rtt,27.1907,49.0159,22.522,681.055
hash_based,p95_rtt,36.5234,132.3403,25.093,1802.015
hash_based,fairness_index,0.9965,0.0069,0.9449,1.0
hash_based,max_imbalance,105.5778,83.7309,0.0,1175.0
hash_based,decision_latency_us,2568.1,76.3921,2477.4,2663.8
ecmp,throughput,59.9722,29.9598,0.0,88.0
ecmp,avg_rtt,21.3375,1.4064,18.154,28.975
ecmp,p95_rtt,26.4615,1.1616,25.101,39.764
ecmp,fairness_index,1.0,0.0001,0.9994,1.0
ecmp,max_imbalance,52.1722,117.2873,0.0,1125.0
ecmp,decision_latency_us,2303.9667,41.842,2264.9,2361.8
drl,throughput,60.6444,30.7461,0.0,89.0
drl,avg_rtt,20.5668,0.3978,19.889,22.616
drl,p95_rtt,26.291,0.6071,25.219,31.0
drl,fairness_index,0.9573,0.1111,0.3333,1.0
drl,max_imbalance,92.6833,53.3725,0.0,246.0
drl,decision_latency_us,2697.8667,130.8154,2522.8,2835.8
