time_to_adapt,failed_request_count,fairness_among_alive,algorithm,trial,avg_decision_latency_us
60,42,1.0,round_robin,1,2043.3
60,36,0.9999822222222222,round_robin,2,1778.0
60,6,0.9999714285714286,round_robin,3,2439.5
60,36,0.9999833333333334,weighted_round_robin,1,2241.6
60,36,0.9999833333333334,weighted_round_robin,2,2276.6
60,36,0.9999833333333334,weighted_round_robin,3,2296.6
3,32,0.9977499999999998,random,1,2001.5
11,29,0.9978788888888888,random,2,1790.8
5,35,0.9904311111111112,random,3,1980.7
34,34,0.9916844444444444,least_connections,1,1935.6
10,24,0.9861622222222222,least_connections,2,2038.6
17,26,0.9927333333333332,least_connections,3,1829.4
0,33,0.9820287499999999,hash_based,1,2372.0
13,34,0.9994988888888888,hash_based,2,2146.3
0,24,0.9944722222222222,hash_based,3,2065.4
60,33,0.9999822222222222,ecmp,1,2567.5
60,32,0.9999777777777779,ecmp,2,1978.7
60,36,0.9999833333333334,ecmp,3,1981.2
27,28,0.68845,drl,1,1766.5
25,25,0.6905644444444444,drl,2,2142.7
25,26,0.6829733333333334,drl,3,2162.6
