algorithm,metric,mean,std,min,max
round_robin,throughput,59.9483,30.5363,0.0,92.0
round_robin,avg_rtt,23.3666,0.3701,22.339,24.408
round_robin,p95_rtt,26.2949,0.4877,24.959,28.358
round_robin,fairness_index,1.0,0.0,0.9997,1.0
round_robin,max_imbalance,25.03,94.0891,0.0,1187.0
round_robin,decision_latency_us,2203.07,242.5435,1942.2,2647.2
weighted_round_robin,throughput,59.7083,29.8942,0.0,91.0
weighted_round_robin,avg_rtt,23.3198,26.8471,18.038,678.943
weighted_round_robin,p95_rtt,29.3959,72.5031,24.969,1802.341
weighted_round_robin,fairness_index,1.0,0.0001,0.9981,1.0
weighted_round_robin,max_imbalance,39.9683,78.5918,0.0,1146.0
weighted_round_robin,decision_latency_us,2311.22,215.1439,1829.7,2598.8
random,throughput,60.3783,30.5377,0.0,89.0
random,avg_rtt,23.1369,0.9453,19.852,28.649
random,p95_rtt,26.4248,0.7488,25.216,39.739
random,fairness_index,0.9973,0.0064,0.9159,1.0
random,max_imbalance,86.9917,67.6151,0.0,1191.0
random,decision_latency_us,2381.56,268.0668,1851.3,2817.3
least_connections,throughput,59.98,31.8162,0.0,89.0
least_connections,avg_rtt,23.3851,0.3649,22.38,26.15
least_connections,p95_rtt,26.3468,0.4388,25.12,27.691
least_connections,fairness_index,0.9975,0.0049,0.9432,1.0
least_connections,max_imbalance,72.6,103.3623,0.0,1207.0
least_connections,decision_latency_us,2244.33,135.64,2017.6,2455.5
hash_based,throughput,62.11,31.479,0.0,98.0
hash_based,avg_rtt,21.7905,1.5216,18.319,25.839
hash_based,p95_rtt,26.3242,1.0806,25.052,40.086
hash_based,fairness_index,0.9978,0.0045,0.9216,1.0
hash_based,max_imbalance,88.6883,72.0131,0.0,1143.0
hash_based,decision_latency_us,2244.34,236.779,1903.0,2709.7
ecmp,throughput,61.0133,29.6126,0.0,90.0
ecmp,avg_rtt,22.3786,1.4037,19.726,28.769
ecmp,p95_rtt,26.2041,1.0618,24.879,40.615
ecmp,fairness_index,1.0,0.0,0.9997,1.0
ecmp,max_imbalance,67.7517,80.4933,0.0,1206.0
ecmp,decision_latency_us,1991.82,60.5354,1906.2,2110.2
drl,throughput,62.0796,30.6572,0.0,93.0
drl,avg_rtt,23.2497,0.4419,19.125,28.167
drl,p95_rtt,26.2156,0.7254,25.017,39.595
drl,fairness_index,0.9228,0.1396,0.3333,1.0
drl,max_imbalance,137.009,120.1469,0.0,1311.0
drl,decision_latency_us,2328.4128,390.8346,1965.3,3377.5
