algorithm,trial,second,throughput,avg_rtt,p95_rtt,fairness_index,fairness_alive,max_imbalance,h1_conns,h2_conns,h3_conns,h1_sels,h2_sels,h3_sels,h1_rtt,h2_rtt,h3_rtt,h1_alive,h2_alive,h3_alive,decision_latency_us
round_robin,1,0,0,15.372,24.717,1.0,1.0,0,0,0,0,0,0,0,0.011507,0.008424,0.026185,1,1,1,2271.3
round_robin,1,1,1,15.421,24.893,0.3333,0.3333,50,0,0,50,1,0,0,0.011468,0.008409,0.026385,1,1,1,2271.3
round_robin,1,2,1,15.363,24.596,0.6667,0.6667,51,0,0,51,1,1,0,0.011548,0.008495,0.026046,1,1,1,2271.3
round_robin,1,3,11,15.268,24.339,0.9883,0.9883,53,0,0,53,5,4,4,0.011593,0.008457,0.025755,1,1,1,2271.3
round_robin,1,4,1,15.256,24.335,0.9899,0.9899,53,0,0,53,5,5,4,0.011557,0.008457,0.025755,1,1,1,2271.3
round_robin,1,5,11,15.419,24.745,0.9968,0.9968,51,0,0,51,9,8,8,0.011557,0.008491,0.02621,1,1,1,2271.3
round_robin,1,6,1,15.366,24.682,0.9971,0.9971,53,0,0,53,9,9,8,0.011503,0.008449,0.026146,1,1,1,2271.3
round_robin,1,7,11,15.654,24.783,0.9985,0.9985,55,0,0,55,13,12,12,0.011588,0.009126,0.026249,1,1,1,2271.3
round_robin,1,8,1,15.457,24.824,0.9986,0.9986,56,0,0,56,13,13,12,0.011663,0.008421,0.026286,1,1,1,2271.3
round_robin,1,9,11,15.394,24.719,0.9992,0.9992,55,0,0,55,17,16,16,0.011651,0.008361,0.026171,1,1,1,2271.3
round_robin,1,10,1,15.394,24.719,0.9992,0.9992,55,0,0,55,17,17,16,0.011651,0.008361,0.026171,1,1,1,2271.3
round_robin,1,11,11,15.459,24.873,0.9995,0.9995,56,0,0,56,21,20,20,0.011643,0.008391,0.026343,1,1,1,2271.3
round_robin,1,12,1,15.379,24.681,0.9995,0.9995,58,0,0,58,21,21,20,0.011592,0.008409,0.026135,1,1,1,2271.3
round_robin,1,13,11,15.361,24.756,0.9996,0.9996,56,0,0,56,25,24,24,0.011611,0.008255,0.026217,1,1,1,2271.3
round_robin,1,14,1,15.798,24.834,0.9996,0.9996,57,0,0,57,25,25,24,0.012886,0.008345,0.026162,1,1,1,2271.3
round_robin,1,15,11,15.335,24.695,0.9997,0.9997,57,0,0,57,29,28,28,0.011494,0.008348,0.026162,1,1,1,2271.3
round_robin,1,16,1,15.336,24.698,0.9997,0.9997,59,0,0,59,29,29,28,0.011494,0.008348,0.026165,1,1,1,2271.3
round_robin,1,17,11,15.354,24.625,0.9998,0.9998,60,0,0,60,33,32,32,0.011582,0.008406,0.026074,1,1,1,2271.3
round_robin,1,18,1,15.523,24.886,0.9998,0.9998,59,0,0,59,33,33,32,0.011855,0.00838,0.026334,1,1,1,2271.3
round_robin,1,19,11,15.376,24.737,0.9998,0.9998,60,0,0,60,37,36,36,0.011578,0.008352,0.026199,1,1,1,2271.3
round_robin,1,20,1,15.343,24.607,0.9998,0.9998,62,0,0,62,37,37,36,0.011452,0.008509,0.026069,1,1,1,2271.3
round_robin,1,21,11,15.389,24.621,0.9999,0.9999,62,0,0,62,41,40,40,0.011589,0.008509,0.026069,1,1,1,2271.3
round_robin,1,22,1,15.454,24.907,0.9999,0.9999,60,0,0,60,41,41,40,0.011589,0.008387,0.026387,1,1,1,2271.3
round_robin,1,23,7,15.317,24.42,1.0,1.0,61,0,0,61,43,43,43,0.01173,0.008392,0.02583,1,1,1,2271.3
round_robin,1,24,4,15.301,24.48,0.9999,0.9999,63,0,0,63,45,44,44,0.011594,0.008398,0.025912,1,1,1,2271.3
round_robin,1,25,1,15.371,24.737,0.9999,0.9999,61,0,0,61,45,45,44,0.011491,0.008413,0.026209,1,1,1,2271.3
round_robin,1,26,11,15.753,24.695,0.9999,0.9999,63,0,0,63,49,48,48,0.011995,0.009159,0.026106,1,1,1,2271.3
round_robin,1,27,1,15.753,24.695,0.9999,0.9999,63,0,0,63,49,49,48,0.011995,0.009159,0.026106,1,1,1,2271.3
round_robin,1,28,11,15.672,25.255,0.9999,0.9999,65,0,0,65,53,52,52,0.011589,0.008652,0.026774,1,1,1,2271.3
round_robin,1,29,1,15.409,24.736,0.9999,0.9999,66,0,0,66,53,53,52,0.011522,0.008501,0.026204,1,1,1,2271.3
round_robin,1,30,11,15.339,24.616,0.9999,0.9999,65,0,0,65,57,56,56,0.011522,0.008423,0.026071,1,1,1,2271.3
round_robin,1,31,1,15.406,24.722,0.9999,0.9999,66,0,0,66,57,57,56,0.011549,0.008483,0.026186,1,1,1,2271.3
round_robin,1,32,11,15.414,24.725,0.9999,0.9999,66,0,0,66,61,60,60,0.011572,0.008483,0.026186,1,1,1,2271.3
round_robin,1,33,1,15.303,24.463,0.9999,0.9999,68,0,0,68,61,61,60,0.011572,0.008441,0.025895,1,1,1,2271.3
round_robin,1,34,11,15.369,24.686,0.9999,0.9999,65,0,0,65,65,64,64,0.011535,0.008426,0.026147,1,1,1,2271.3
round_robin,1,35,1,15.34,24.612,0.9999,0.9999,67,0,0,67,65,65,64,0.011541,0.008414,0.026064,1,1,1,2271.3
round_robin,1,36,11,15.34,24.641,1.0,1.0,69,0,0,69,69,68,68,0.011515,0.008406,0.026099,1,1,1,2271.3
round_robin,1,37,1,15.452,24.811,1.0,1.0,67,0,0,67,69,69,68,0.011541,0.00853,0.026286,1,1,1,2271.3
round_robin,1,38,11,15.452,24.811,1.0,1.0,67,0,0,67,73,72,72,0.011541,0.00853,0.026286,1,1,1,2271.3
round_robin,1,39,1,15.313,24.67,1.0,1.0,69,0,0,69,73,73,72,0.011388,0.008405,0.026146,1,1,1,2271.3
round_robin,1,40,11,15.489,24.944,1.0,1.0,70,0,0,70,77,76,76,0.011626,0.008417,0.026424,1,1,1,2271.3
round_robin,1,41,1,15.501,24.92,1.0,1.0,72,0,0,72,77,77,76,0.011695,0.008417,0.02639,1,1,1,2271.3
round_robin,1,42,11,15.286,24.521,1.0,1.0,71,0,0,71,81,80,80,0.011494,0.008394,0.025969,1,1,1,2271.3
round_robin,1,43,1,15.723,24.535,1.0,1.0,71,0,0,71,81,81,80,0.011633,0.009567,0.025969,1,1,1,2271.3
round_robin,1,44,11,15.826,24.813,1.0,1.0,72,0,0,72,85,84,84,0.011633,0.009567,0.026278,1,1,1,2271.3
round_robin,1,45,1,15.529,24.993,1.0,1.0,74,0,0,74,85,85,84,0.011615,0.008494,0.026479,1,1,1,2271.3
round_robin,1,46,11,15.404,24.646,1.0,1.0,71,0,0,71,89,88,88,0.011559,0.008553,0.0261,1,1,1,2271.3
round_robin,1,47,1,15.537,24.363,1.0,1.0,73,0,0,73,89,89,88,0.01152,0.0093,0.02579,1,1,1,2271.3
