stress_fairness_alive,stress_avg_rtt_ms,stress_failed_rate,algorithm,trial,avg_decision_latency_us
0.9942067039106146,13690.486033519552,0.03095558546433378,round_robin,1,2271.3
0.9942067039106146,13668.04469273743,0.03095558546433378,round_robin,2,2323.8
0.9942067039106146,13688.480446927375,0.03095558546433378,round_robin,3,2004.7
0.9942067039106146,13778.17877094972,0.03095558546433378,round_robin,4,2256.3
0.9942067039106145,13744.273743016762,0.03095558546433378,round_robin,5,2205.4
0.9942061452513966,13743.128491620113,0.03095558546433378,round_robin,6,2228.2
0.9942061452513966,13761.564245810056,0.03095558546433378,round_robin,7,1997.3
0.9942061452513966,13736.005586592179,0.03095558546433378,round_robin,8,1889.4
0.9942061452513966,13583.0,0.03095558546433378,round_robin,9,2077.9
0.9942061452513966,13637.061452513966,0.03095558546433378,round_robin,10,1853.0
0.9942067039106146,13734.41340782123,0.03095558546433378,weighted_round_robin,1,2114.1
0.9942061452513966,13748.972067039105,0.03095558546433378,weighted_round_robin,2,2495.6
0.9942061452513966,13711.59776536313,0.03095558546433378,weighted_round_robin,3,2157.7
0.9942061452513966,13737.273743016762,0.03095558546433378,weighted_round_robin,4,1917.7
0.9942067039106146,13755.368715083796,0.03095558546433378,weighted_round_robin,5,2209.0
0.9942061452513966,13838.614525139665,0.03095558546433378,weighted_round_robin,6,1837.9
0.9942067039106146,13709.932960893851,0.03095558546433378,weighted_round_robin,7,2037.9
0.9942067039106146,13661.290502793296,0.03095558546433378,weighted_round_robin,8,2016.9
0.9942067039106145,13683.642458100561,0.03095558546433378,weighted_round_robin,9,1989.7
0.9942061452513966,13651.089385474861,0.03095558546433378,weighted_round_robin,10,1988.2
0.975022905027933,13643.564245810054,0.03723404255319149,random,1,1996.6
0.9902139664804468,13668.932960893855,0.04085603112840467,random,2,1866.7
0.9871240223463689,13659.27932960894,0.045813586097946286,random,3,1947.8
0.9786916201117317,13653.804469273742,0.04208754208754209,random,4,1785.3
0.985963687150838,13671.111731843575,0.027993779160186624,random,5,2042.4
0.9906326666666666,13351.266666666668,0.05868544600938967,random,6,2193.7
0.994954748603352,13719.206703910617,0.036020583190394515,random,7,2187.5
0.9883128491620112,13696.49720670391,0.03968253968253968,random,8,2092.3
0.979540782122905,13741.396648044694,0.04389312977099236,random,9,2290.2
0.986268156424581,13758.22905027933,0.026533996683250415,random,10,2413.1
0.9643631284916202,13849.37430167598,0.03484320557491289,least_connections,1,1811.7
0.9813424581005586,13604.363128491621,0.0472972972972973,least_connections,2,2011.0
0.9833988826815643,13617.513966480446,0.03723404255319149,least_connections,3,1864.2
0.9810374301675978,13735.00558659218,0.0496031746031746,least_connections,4,4430.4
0.9893240223463687,13738.513966480446,0.04198473282442748,least_connections,5,2145.1
0.9929770949720671,13913.76536312849,0.031413612565445025,least_connections,6,2129.6
0.980664245810056,14217.262569832403,0.062111801242236024,least_connections,7,3641.0
0.9862664804469273,14357.597765363127,0.028716216216216218,least_connections,8,2564.1
0.9743402234636872,13739.888268156426,0.040780141843971635,least_connections,9,2195.9
0.990746368715084,13787.212290502794,0.05574912891986063,least_connections,10,2384.7
0.9916983240223465,13711.28491620112,0.036020583190394515,hash_based,1,2035.2
0.9880463687150838,13637.865921787708,0.044534412955465584,hash_based,2,1964.0
0.9875312849162011,13643.17318435754,0.04048582995951417,hash_based,3,1745.2
0.9643061452513967,13681.022346368718,0.04355400696864112,hash_based,4,1982.8
0.9834290502793295,13618.329608938546,0.03571428571428571,hash_based,5,2169.6
0.9790882681564246,13621.664804469274,0.050522648083623695,hash_based,6,1975.9
0.992577094972067,13645.977653631286,0.04956896551724138,hash_based,7,2066.0
0.958960606060606,13704.431818181818,0.02102803738317757,hash_based,8,2318.1
0.9848195530726257,13719.379888268159,0.029411764705882353,hash_based,9,2459.9
0.982108379888268,13771.452513966482,0.04529616724738676,hash_based,10,2232.9
0.9942061452513966,13770.826815642456,0.03095558546433378,ecmp,1,2211.7
0.9942067039106145,13709.0,0.03095558546433378,ecmp,2,1981.3
0.9942061452513966,13624.530726256982,0.03095558546433378,ecmp,3,2016.7
0.9942383333333333,13633.383333333333,0.026881720430107527,ecmp,4,1949.2
0.9942061452513966,13619.547486033518,0.03095558546433378,ecmp,5,2051.4
0.9942061452513966,13688.893854748603,0.03095558546433378,ecmp,6,2265.3
0.9942061452513966,13737.865921787707,0.03095558546433378,ecmp,7,2191.7
0.9942061452513966,13739.603351955308,0.03095558546433378,ecmp,8,2224.0
0.9942055865921788,13746.536312849163,0.03095558546433378,ecmp,9,2237.6
0.9942061452513966,13730.458100558662,0.03095558546433378,ecmp,10,2220.9
0.474864245810056,13813.782122905028,0.145679012345679,drl,1,2273.6
0.47504078212290496,13836.84916201117,0.16292134831460675,drl,2,2077.7
0.486486592178771,13816.659217877093,0.16619718309859155,drl,3,2218.3
0.6773636871508381,13829.033519553072,0.1291759465478842,drl,4,2551.4
0.47478435754189946,13776.670391061454,0.16434540389972144,drl,5,2418.6
0.4717625698324021,13725.27932960894,0.14356435643564355,drl,6,2313.7
0.4747173184357542,13970.68156424581,0.16066481994459833,drl,7,2320.2
0.4602268156424581,13677.68156424581,0.12719298245614036,drl,8,2520.4
0.4746061452513967,13762.173184357544,0.145679012345679,drl,9,2048.5
0.47545586592178773,13740.413407821228,0.164804469273743,drl,10,2026.6
