algorithm,trial,second,throughput,avg_rtt,p95_rtt,fairness_index,fairness_alive,max_imbalance,h1_conns,h2_conns,h3_conns,h1_sels,h2_sels,h3_sels,h1_rtt,h2_rtt,h3_rtt,h1_alive,h2_alive,h3_alive,decision_latency_us
round_robin,1,0,0,15.464,24.891,1.0,1.0,0,0,0,0,0,0,0,0.007357,0.012799,0.026235,1,1,1,2017.2
round_robin,1,1,1,15.464,24.891,0.3333,0.3333,0,0,0,0,1,0,0,0.007357,0.012799,0.026235,1,1,1,2017.2
round_robin,1,2,1,15.504,24.953,0.6667,0.6667,27,0,27,4,1,1,0,0.007635,0.012546,0.026332,1,1,1,2017.2
round_robin,1,3,11,15.473,24.916,0.9883,0.9883,27,0,27,6,5,4,4,0.007534,0.0126,0.026285,1,1,1,2017.2
round_robin,1,4,1,15.478,25.068,0.9899,0.9899,27,0,27,7,5,5,4,0.007409,0.012568,0.026457,1,1,1,2017.2
round_robin,1,5,11,15.382,24.721,0.9968,0.9968,27,0,27,9,9,8,8,0.007452,0.012629,0.026065,1,1,1,2017.2
round_robin,1,6,1,15.4,24.787,0.9971,0.9971,27,0,27,10,9,9,8,0.007362,0.012709,0.026129,1,1,1,2017.2
round_robin,1,7,11,15.4,24.787,0.9985,0.9985,27,0,27,10,13,12,12,0.007362,0.012709,0.026129,1,1,1,2017.2
round_robin,1,8,1,15.371,24.758,0.9986,0.9986,27,0,27,12,13,13,12,0.007412,0.012591,0.02611,1,1,1,2017.2
round_robin,1,9,11,15.496,24.785,0.9992,0.9992,27,0,27,15,17,16,16,0.007573,0.012799,0.026117,1,1,1,2017.2
round_robin,1,10,1,15.689,24.901,0.9992,0.9992,27,0,27,15,17,17,16,0.00743,0.013467,0.026171,1,1,1,2017.2
round_robin,1,11,11,15.497,24.937,0.9995,0.9995,27,0,27,17,21,20,20,0.007357,0.012855,0.026279,1,1,1,2017.2
round_robin,1,12,1,15.384,24.787,0.9995,0.9995,27,0,27,18,21,21,20,0.007456,0.012551,0.026146,1,1,1,2017.2
round_robin,1,13,11,15.384,24.787,0.9996,0.9996,27,0,27,18,25,24,24,0.007456,0.012551,0.026146,1,1,1,2017.2
round_robin,1,14,1,15.435,24.775,0.9996,0.9996,27,0,27,20,25,25,24,0.007674,0.012491,0.02614,1,1,1,2017.2
round_robin,1,15,11,15.361,24.765,0.9997,0.9997,27,0,27,21,29,28,28,0.007429,0.01253,0.026124,1,1,1,2017.2
round_robin,1,16,1,15.377,24.902,0.9997,0.9997,27,0,27,23,29,29,28,0.007358,0.012493,0.026281,1,1,1,2017.2
round_robin,1,17,11,15.284,24.587,0.9998,0.9998,27,0,27,25,33,32,32,0.007367,0.012563,0.025923,1,1,1,2017.2
round_robin,1,18,1,15.774,24.941,0.9998,0.9998,27,0,27,26,33,33,32,0.007596,0.013515,0.02621,1,1,1,2017.2
round_robin,1,19,11,15.718,24.941,0.9998,0.9998,27,0,27,26,37,36,36,0.00743,0.013515,0.02621,1,1,1,2017.2
round_robin,1,20,1,15.45,24.979,0.9998,0.9998,28,0,27,28,37,37,36,0.00743,0.012561,0.026359,1,1,1,2017.2
round_robin,1,21,11,15.303,24.575,0.9999,0.9999,29,0,27,29,41,40,40,0.007426,0.012574,0.025908,1,1,1,2017.2
round_robin,1,22,1,15.38,24.906,0.9999,0.9999,31,0,27,31,41,41,40,0.007335,0.012523,0.026282,1,1,1,2017.2
round_robin,1,23,11,15.481,24.824,0.9999,0.9999,32,0,27,32,45,44,44,0.007459,0.012826,0.026157,1,1,1,2017.2
round_robin,1,24,1,15.399,24.853,0.9999,0.9999,34,0,27,34,45,45,44,0.0074,0.012582,0.026216,1,1,1,2017.2
round_robin,1,25,0,15.41,24.853,0.9999,0.9999,34,0,27,34,45,45,44,0.007432,0.012582,0.026216,1,1,1,2017.2
round_robin,1,26,11,15.365,24.858,0.9999,0.9999,36,0,27,36,49,48,48,0.007432,0.012423,0.02624,1,1,1,2017.2
round_robin,1,27,1,15.588,25.306,0.9999,0.9999,37,0,27,37,49,49,48,0.007427,0.012621,0.026716,1,1,1,2017.2
round_robin,1,28,11,15.796,25.229,0.9999,0.9999,39,0,25,39,53,52,52,0.007391,0.013461,0.026536,1,1,1,2017.2
round_robin,1,29,1,15.405,24.902,0.9999,0.9999,40,0,25,40,53,53,52,0.007397,0.012541,0.026276,1,1,1,2017.2
round_robin,1,30,11,15.531,25.019,0.9999,0.9999,42,0,25,42,57,56,56,0.007391,0.012827,0.026374,1,1,1,2017.2
round_robin,1,31,1,15.537,25.019,0.9999,0.9999,42,0,25,42,57,57,56,0.007411,0.012827,0.026374,1,1,1,2017.2
round_robin,1,32,11,15.248,24.42,0.9999,0.9999,43,0,22,43,61,60,60,0.007411,0.012601,0.025733,1,1,1,2017.2
round_robin,1,33,1,15.431,24.502,0.9999,0.9999,45,0,22,45,61,61,60,0.007813,0.012662,0.025818,1,1,1,2017.2
round_robin,1,34,11,15.476,25.147,0.9999,0.9999,47,0,22,47,65,64,64,0.007289,0.012598,0.026541,1,1,1,2017.2
round_robin,1,35,1,15.397,24.819,0.9999,0.9999,48,0,22,48,65,65,64,0.007411,0.012603,0.026176,1,1,1,2017.2
round_robin,1,36,11,15.311,24.625,1.0,1.0,50,0,18,50,69,68,68,0.007414,0.012554,0.025966,1,1,1,2017.2
round_robin,1,37,1,15.307,24.625,1.0,1.0,50,0,18,50,69,69,68,0.007401,0.012554,0.025966,1,1,1,2017.2
round_robin,1,38,11,15.5,25.157,1.0,1.0,51,0,18,51,73,72,72,0.007401,0.01254,0.026559,1,1,1,2017.2
round_robin,1,39,1,15.537,24.94,1.0,1.0,53,0,18,53,73,73,72,0.007394,0.012944,0.026273,1,1,1,2017.2
round_robin,1,40,11,15.637,25.448,1.0,1.0,54,0,15,54,77,76,76,0.007386,0.012655,0.026869,1,1,1,2017.2
round_robin,1,41,1,15.34,24.735,1.0,1.0,56,0,15,56,77,77,76,0.007348,0.012588,0.026085,1,1,1,2017.2
round_robin,1,42,11,15.602,25.372,1.0,1.0,58,0,15,58,81,80,80,0.007427,0.012587,0.026793,1,1,1,2017.2
round_robin,1,43,1,15.603,25.372,1.0,1.0,58,0,15,58,81,81,80,0.007429,0.012587,0.026793,1,1,1,2017.2
round_robin,1,44,11,15.654,25.069,1.0,1.0,59,0,12,59,85,84,84,0.007429,0.013137,0.026395,1,1,1,2017.2
round_robin,1,45,1,15.454,24.982,1.0,1.0,61,0,12,61,85,85,84,0.00742,0.012584,0.026359,1,1,1,2017.2
round_robin,1,46,11,15.358,24.728,1.0,1.0,62,0,12,62,89,88,88,0.00741,0.012588,0.026077,1,1,1,2017.2
round_robin,1,47,1,15.342,24.751,1.0,1.0,64,0,12,64,89,89,88,0.007392,0.012526,0.026109,1,1,1,2017.2
round_robin,1,48,11,15.693,24.998,1.0,1.0,65,0,8,65,93,92,92,0.007369,0.013427,0.026284,1,1,1,2017.2
round_robin,1,49,1,15.712,24.998,1.0,1.0,65,0,8,65,93,93,92,0.007424,0.013427,0.026284,1,1,1,2017.2
round_robin,1,50,0,15.399,24.915,1.0,1.0,67,0,8,67,93,93,92,0.007424,0.012475,0.026297,1,1,1,2017.2
round_robin,1,51,11,15.484,24.796,1.0,1.0,69,0,8,69,97,96,96,0.007681,0.012623,0.026149,1,1,1,2017.2
round_robin,1,52,1,15.432,24.869,1.0,1.0,70,0,5,70,97,97,96,0.007556,0.012496,0.026244,1,1,1,2017.2
round_robin,1,53,11,15.471,24.747,1.0,1.0,72,0,5,72,101,100,100,0.007699,0.01262,0.026094,1,1,1,2017.2
round_robin,1,54,1,15.361,24.784,1.0,1.0,73,0,5,73,101,101,100,0.007346,0.0126,0.026138,1,1,1,2017.2
round_robin,1,55,11,15.388,24.787,1.0,1.0,73,0,5,73,105,104,104,0.007401,0.012626,0.026138,1,1,1,2017.2
round_robin,1,56,1,15.346,24.672,1.0,1.0,75,0,5,75,105,105,104,0.007401,0.012626,0.02601,1,1,1,2017.2
round_robin,1,57,11,15.194,24.304,1.0,1.0,77,0,1,77,109,108,108,0.007443,0.012525,0.025613,1,1,1,2017.2
round_robin,1,58,1,15.547,25.042,1.0,1.0,78,0,1,78,109,109,108,0.007493,0.012738,0.026409,1,1,1,2017.2
round_robin,1,59,11,15.486,25.052,1.0,1.0,80,0,1,80,113,112,112,0.00744,0.012579,0.026438,1,1,1,2017.2
round_robin,1,60,1,15.336,24.689,1.0,1.0,79,0,0,79,113,113,112,0.007371,0.012607,0.026031,1,1,1,2017.2
round_robin,1,61,11,15.352,24.688,1.0,1.0,79,0,0,79,117,116,116,0.007425,0.012599,0.026031,1,1,1,2017.2
round_robin,1,62,1,15.477,25.025,1.0,1.0,81,0,0,81,117,117,116,0.007425,0.012599,0.026406,1,1,1,2017.2
round_robin,1,63,11,15.452,25.025,1.0,1.0,82,0,0,82,121,120,120,0.007424,0.012518,0.026415,1,1,1,2017.2
round_robin,1,64,1,15.489,24.829,1.0,1.0,80,0,0,80,121,121,120,0.007689,0.012588,0.026189,1,1,1,2017.2
round_robin,1,65,11,15.606,25.014,1.0,1.0,81,0,0,81,125,124,124,0.007406,0.01307,0.026341,1,1,1,2017.2
round_robin,1,66,1,15.595,24.985,1.0,1.0,83,0,0,83,125,125,124,0.007448,0.013024,0.026314,1,1,1,2017.2
round_robin,1,67,11,15.513,24.959,1.0,1.0,83,0,0,83,129,128,128,0.007459,0.012766,0.026314,1,1,1,2017.2
round_robin,1,68,1,15.479,24.867,1.0,1.0,85,0,0,85,129,129,128,0.007459,0.012766,0.026212,1,1,1,2017.2
round_robin,1,69,11,15.603,24.694,1.0,1.0,80,0,0,80,133,132,132,0.007414,0.013452,0.025943,1,1,1,2017.2
round_robin,1,70,1,15.353,24.787,1.0,1.0,82,0,0,82,133,133,132,0.007398,0.012511,0.026151,1,1,1,2017.2
round_robin,1,71,1,15.424,24.935,1.0,1.0,83,0,0,83,133,133,133,0.007374,0.012593,0.026306,1,1,1,2017.2
round_robin,1,72,10,15.364,24.74,1.0,1.0,80,0,0,80,137,136,136,0.007471,0.012524,0.026097,1,1,1,2017.2
round_robin,1,73,1,15.445,24.77,1.0,1.0,80,0,0,80,137,137,136,0.007413,0.012824,0.026097,1,1,1,2017.2
round_robin,1,74,11,15.383,24.604,1.0,1.0,81,0,0,81,141,140,140,0.007413,0.012824,0.025913,1,1,1,2017.2
round_robin,1,75,1,15.396,24.739,1.0,1.0,83,0,0,83,141,141,140,0.007595,0.012493,0.0261,1,1,1,2017.2
round_robin,1,76,11,15.904,25.117,1.0,1.0,85,0,0,85,145,144,144,0.008232,0.01302,0.026461,1,1,1,2017.2
round_robin,1,77,1,15.419,24.828,1.0,1.0,80,0,0,80,145,145,144,0.00741,0.012667,0.026179,1,1,1,2017.2
round_robin,1,78,11,15.8,25.042,1.0,1.0,82,0,0,82,149,148,148,0.008227,0.012768,0.026406,1,1,1,2017.2
round_robin,1,79,1,15.46,25.023,1.0,1.0,82,0,0,82,149,149,148,0.007402,0.012572,0.026406,1,1,1,2017.2
round_robin,1,80,11,15.259,24.479,1.0,1.0,83,0,0,83,153,152,152,0.007402,0.012572,0.025802,1,1,1,2017.2
round_robin,1,81,1,15.669,25.346,1.0,1.0,80,0,0,80,153,153,152,0.007647,0.012598,0.026763,1,1,1,2017.2
round_robin,1,82,11,15.341,24.561,1.0,1.0,82,0,0,82,157,156,156,0.007375,0.012778,0.02587,1,1,1,2017.2
round_robin,1,83,1,15.508,25.29,1.0,1.0,83,0,0,83,157,157,156,0.007315,0.012497,0.026712,1,1,1,2017.2
round_robin,1,84,11,15.504,24.924,1.0,1.0,85,0,0,85,161,160,160,0.007686,0.012524,0.026302,1,1,1,2017.2
round_robin,1,85,1,15.425,24.93,1.0,1.0,85,0,0,85,161,161,160,0.007389,0.012583,0.026302,1,1,1,2017.2
round_robin,1,86,11,15.255,24.472,1.0,1.0,80,0,0,80,165,164,164,0.007389,0.012583,0.025793,1,1,1,2017.2
round_robin,1,87,1,15.382,24.781,1.0,1.0,82,0,0,82,165,165,164,0.00744,0.012567,0.026138,1,1,1,2017.2
