h1_traffic_share,avg_rtt_weighted,throughput_loss,algorithm,trial,avg_decision_latency_us
0.3333333333333333,13.963309931245233,0.9296875,round_robin,1,2017.2
0.33382789317507416,13.889309309178222,0.9297916666666667,round_robin,2,1876.0
0.33382789317507416,14.25162977736549,0.9297916666666667,round_robin,3,2088.5
0.33382789317507416,13.69257382953181,0.9297916666666667,round_robin,4,1963.4
0.3343065693430657,13.92348044308633,0.9286458333333333,round_robin,5,2164.8
0.3343065693430657,14.122344385026738,0.9286458333333333,round_robin,6,2101.7
0.33382789317507416,13.485252100840341,0.9297916666666667,round_robin,7,1897.4
0.33382789317507416,13.879256766342897,0.9297916666666667,round_robin,8,1952.2
0.33382789317507416,13.762913598166538,0.9297916666666667,round_robin,9,1817.2
0.33382789317507416,14.132797408054135,0.9297916666666667,round_robin,10,3719.0
0.2,13.518517799847208,0.9401041666666666,weighted_round_robin,1,3006.2
0.2,13.253359816653935,0.9401041666666666,weighted_round_robin,2,2184.8
0.2,13.709553093964862,0.9401041666666666,weighted_round_robin,3,2443.6
0.2,13.296575248281131,0.9401041666666666,weighted_round_robin,4,2115.7
0.2,13.48566992251446,0.9401041666666666,weighted_round_robin,5,2175.7
0.2,13.656303776055875,0.9401041666666666,weighted_round_robin,6,2427.9
0.1996527777777778,13.472470317917375,0.94,weighted_round_robin,7,2684.5
0.2,13.550066981337988,0.9401041666666666,weighted_round_robin,8,2126.5
0.20035460992907803,13.751583105969663,0.94125,weighted_round_robin,9,2209.1
0.2,13.724333995416348,0.9401041666666666,weighted_round_robin,10,2295.2
0.312621359223301,12.361142475171885,0.9463541666666667,random,1,2253.0
0.334453781512605,12.599728571428571,0.9380208333333333,random,2,2232.0
0.3584158415841584,11.82059709702063,0.9473958333333333,random,3,2109.7
0.3142857142857143,12.413089915966381,0.9453125,random,4,1931.3
0.29310344827586204,11.661144385026743,0.9577083333333334,random,5,2258.3
0.30707070707070705,12.49609497435338,0.9484375,random,6,1969.8
0.33396946564885494,11.205660045836519,0.9454166666666667,random,7,2278.4
0.3508137432188065,11.351560351413296,0.9423958333333333,random,8,2079.5
0.3089108910891089,11.622414356651754,0.9473958333333333,random,9,1950.0
0.347926267281106,11.471847440794503,0.9547916666666667,random,10,1929.7
0.31856540084388185,11.583162332205607,0.950625,least_connections,1,2068.6
0.3494736842105263,11.51511764705882,0.9505208333333334,least_connections,2,1994.5
0.3564356435643564,11.531194270435442,0.9473958333333333,least_connections,3,1996.2
0.3100917431192661,11.514201167739827,0.9432291666666667,least_connections,4,2018.6
0.312807881773399,11.618283586161738,0.9577083333333334,least_connections,5,2219.0
0.3373493975903614,11.70852874058714,0.9567708333333333,least_connections,6,2117.9
0.3581081081081081,11.525448204736437,0.95375,least_connections,7,2164.3
0.3448275862068966,11.823914547637235,0.9546875,least_connections,8,2306.2
0.3393258426966292,11.659505958747138,0.9536458333333333,least_connections,9,2229.9
0.33904761904761904,11.650100731201567,0.9453125,least_connections,10,2132.9
0.3741935483870968,11.69808579067991,0.9515625,hash_based,1,2028.2
0.2989010989010989,11.697892513368993,0.9526041666666667,hash_based,2,2268.1
0.3205574912891986,11.50953985594237,0.9402083333333333,hash_based,3,2049.2
0.35402298850574715,11.580938197097021,0.9546875,hash_based,4,2365.0
0.36043956043956044,11.766286330895996,0.9526041666666667,hash_based,5,2564.7
0.37373737373737376,11.59185294117647,0.9484375,hash_based,6,1969.5
0.3101123595505618,11.659862948815885,0.9536458333333333,hash_based,7,1936.1
0.30256410256410254,11.644126248226568,0.959375,hash_based,8,2221.3
0.34513274336283184,11.403450725744845,0.9411458333333333,hash_based,9,2296.1
0.34563106796116505,11.740794641492952,0.9463541666666667,hash_based,10,2104.8
0.3338368580060423,11.53157401506057,0.9310416666666667,ecmp,1,2433.3
0.33382789317507416,11.754117270544578,0.9297916666666667,ecmp,2,2012.1
0.3343239227340267,11.700937356760884,0.9298958333333334,ecmp,3,1735.2
0.33382789317507416,11.754549934519265,0.9297916666666667,ecmp,4,2273.4
0.33382789317507416,11.772667914438498,0.9297916666666667,ecmp,5,2349.3
0.33382789317507416,11.63057538469933,0.9297916666666667,ecmp,6,2169.3
0.33382789317507416,11.668455844155844,0.9297916666666667,ecmp,7,1967.8
0.33382789317507416,11.676413985594234,0.9297916666666667,ecmp,8,2446.3
0.33382789317507416,11.716489304812837,0.9297916666666667,ecmp,9,2062.1
0.3333333333333333,11.549131790898183,0.9309375,ecmp,10,2274.9
0.008620689655172414,12.433109243697482,0.9879166666666667,drl,1,2437.5
0.008620689655172414,12.467285714285714,0.9879166666666667,drl,2,2312.2
0.008547008547008548,12.480663865546216,0.9878125,drl,3,2339.9
0.008620689655172414,12.40393277310925,0.9879166666666667,drl,4,2072.6
0.008547008547008548,12.56118487394958,0.9878125,drl,5,2543.7
0.008620689655172414,12.468126050420164,0.9879166666666667,drl,6,2601.8
0.008547008547008548,12.473025210084028,0.9878125,drl,7,2306.0
0.008547008547008548,12.508747899159658,0.9878125,drl,8,2125.7
0.008620689655172414,12.39640336134454,0.9879166666666667,drl,9,2123.2
0.008620689655172414,12.380445378151261,0.9879166666666667,drl,10,1977.2
