h1_traffic_share,avg_rtt_weighted,throughput_loss,algorithm,trial,avg_decision_latency_us
0.33382789317507416,12.206180061115361,0.9297916666666667,round_robin,1,2310.6
0.33382789317507416,11.88214866855833,0.9297916666666667,round_robin,2,2222.6
0.2,12.980744232238349,0.9401041666666666,weighted_round_robin,1,2305.3
0.20035460992907803,12.44948320964749,0.94125,weighted_round_robin,2,2352.3
0.3348314606741573,11.863635708828983,0.9536458333333333,random,1,2338.3
0.32710280373831774,12.721394204954702,0.9442708333333333,random,2,2445.3
0.3401869158878505,12.198820550038201,0.9442708333333333,least_connections,1,2201.8
0.33131313131313134,11.969696223944126,0.9484375,least_connections,2,2224.6
0.2838095238095238,12.008609472880066,0.9453125,hash_based,1,2326.9
0.3227722772277228,11.9673979646404,0.9473958333333333,hash_based,2,2271.5
0.33382789317507416,11.891949934519264,0.9297916666666667,ecmp,1,2317.4
0.3343065693430657,12.373096500418344,0.9286458333333333,ecmp,2,2408.7
0.008547008547008548,8.397067226890757,0.9878125,drl,1,2412.3
0.008547008547008548,8.409806722689076,0.9878125,drl,2,2313.4
