p95_rtt_burst,queue_saturation_events,recovery_time,algorithm,trial,avg_decision_latency_us
11.5244,119,22.0,round_robin,1,1961.6
15.7181,118,22.0,round_robin,2,2036.2
15.71665,118,22.0,round_robin,3,1847.5
15.78815,119,22.0,round_robin,4,1711.3
15.7838,119,22.0,round_robin,5,1865.2
15.61475,119,22.0,round_robin,6,1940.1
15.690349999999999,119,22.0,round_robin,7,2032.5
15.6788,119,22.0,round_robin,8,1985.3
15.7736,119,22.0,round_robin,9,2042.8
15.72635,119,22.0,round_robin,10,2018.5
15.711599999999999,119,22.0,weighted_round_robin,1,2148.3
15.6762,92,22.0,weighted_round_robin,2,2266.1
15.8464,119,22.0,weighted_round_robin,3,2115.4
15.84955,119,22.0,weighted_round_robin,4,1938.5
15.8482,119,22.0,weighted_round_robin,5,2109.2
15.81685,119,22.0,weighted_round_robin,6,2625.7
15.94655,119,22.0,weighted_round_robin,7,2289.1
15.8301,119,22.0,weighted_round_robin,8,2291.4
15.7362,119,22.0,weighted_round_robin,9,2022.9
15.835550000000001,118,22.0,weighted_round_robin,10,2242.8
15.85645,119,22.0,random,1,2141.0
15.739,119,22.0,random,2,2185.9
15.7644,119,22.0,random,3,1904.1
15.961799999999998,119,22.0,random,4,2259.5
15.7893,119,22.0,random,5,2301.6
15.7349,118,22.0,random,6,2050.6
15.78235,119,22.084745762711865,random,7,2126.8
15.91715,119,22.0,random,8,2138.5
15.9119,118,22.0,random,9,2264.9
15.79785,119,22.0,random,10,1856.4
15.864149999999999,119,22.0,least_connections,1,2122.0
15.771849999999999,119,22.0,least_connections,2,2228.8
15.8907,119,22.0,least_connections,3,2259.1
16.124,119,22.0,least_connections,4,2285.8
15.86275,119,22.0,least_connections,5,2079.9
15.8778,119,22.0,least_connections,6,2152.8
15.7487,119,22.0,least_connections,7,2392.0
15.96035,119,22.0,least_connections,8,2147.8
15.764199999999999,119,22.0,least_connections,9,2217.4
15.8569,118,22.0,least_connections,10,2335.2
15.758149999999999,119,22.0,hash_based,1,2469.4
15.78775,119,22.0,hash_based,2,2245.4
15.82645,118,22.0,hash_based,3,1773.7
15.75945,119,22.0,hash_based,4,1885.0
15.75975,119,22.0,hash_based,5,2036.8
15.880749999999999,119,22.0,hash_based,6,2392.4
16.0099,119,22.0,hash_based,7,2449.0
15.7727,119,22.454545454545453,hash_based,8,2273.9
15.9753,119,22.0,hash_based,9,2642.0
16.09905,119,22.0,hash_based,10,2452.9
15.923499999999999,119,22.0,ecmp,1,2668.8
16.27845,119,22.0,ecmp,2,2570.4
15.93545,119,22.0,ecmp,3,2899.7
15.90615,119,22.0,ecmp,4,2503.9
15.8592,119,22.0,ecmp,5,2619.6
15.9543,119,22.0,ecmp,6,3042.0
16.001450000000002,119,22.0,ecmp,7,2498.5
16.1053,119,22.0,ecmp,8,1898.0
16.1213,119,22.0,ecmp,9,2575.2
15.99015,119,22.0,ecmp,10,2296.9
15.983450000000001,119,15.0,drl,1,2237.9
15.66035,119,15.0,drl,2,2515.4
15.751050000000001,119,15.0,drl,3,2110.5
15.64485,119,15.0,drl,4,2235.2
15.677,118,15.0,drl,5,2205.5
15.8293,119,15.0,drl,6,2441.4
15.6946,119,15.0,drl,7,2402.5
15.599250000000001,119,15.0,drl,8,2392.0
15.7241,119,15.0,drl,9,2325.0
15.747399999999999,119,15.0,drl,10,2314.5
