stress_fairness_alive,stress_avg_rtt_ms,stress_failed_rate,algorithm,trial,avg_decision_latency_us
0.9942061452513966,13601.413407821228,0.03095558546433378,round_robin,1,2397.6
0.9942061452513966,13601.50837988827,0.03095558546433378,round_robin,2,1991.3
0.9960687150837989,13594.871508379889,0.03095558546433378,weighted_round_robin,1,2260.1
0.9942061452513966,13558.40782122905,0.03095558546433378,weighted_round_robin,2,1962.0
0.9830027932960893,13552.150837988827,0.03643724696356275,random,1,2099.8
0.9698988826815642,13620.027932960893,0.03790613718411552,random,2,2299.6
0.9965112068965517,14229.051724137933,0.04071246819338423,least_connections,1,3214.6
0.993872625698324,13702.854748603355,0.04563492063492063,least_connections,2,3077.0
0.9886821229050281,13716.569832402236,0.03816793893129771,hash_based,1,2388.6
0.985877653631285,13669.703910614528,0.025793650793650792,hash_based,2,2492.6
0.9942061452513966,13703.296089385474,0.03095558546433378,ecmp,1,2733.4
0.994205027932961,13712.441340782123,0.03095558546433378,ecmp,2,2452.2
0.46874581005586596,13631.245810055862,0.13272311212814644,drl,1,2763.0
0.4640351955307263,13735.31843575419,0.12691466083150985,drl,2,2675.1
