algorithm,trial,second,throughput,avg_rtt,p95_rtt,fairness_index,fairness_alive,max_imbalance,h1_conns,h2_conns,h3_conns,h1_sels,h2_sels,h3_sels,h1_rtt,h2_rtt,h3_rtt,h1_alive,h2_alive,h3_alive,decision_latency_us
round_robin,1,38,11,15.753,25.088,1.0,1.0,51,0,18,51,73,72,72,0.012336,0.008418,0.026505,1,1,1,2115.4
round_robin,1,39,1,15.595,24.73,1.0,1.0,53,0,18,53,73,73,72,0.012197,0.008465,0.026123,1,1,1,2115.4
round_robin,1,40,11,15.559,25.12,1.0,1.0,54,0,18,54,77,76,76,0.011729,0.008341,0.026608,1,1,1,2115.4
round_robin,1,41,1,15.33,24.486,1.0,1.0,56,0,15,56,77,77,76,0.011484,0.008574,0.025931,1,1,1,2115.4
round_robin,1,42,11,15.394,24.435,1.0,1.0,59,0,15,59,81,80,80,0.011971,0.008391,0.02582,1,1,1,2115.4
round_robin,1,43,1,15.406,24.729,1.0,1.0,59,0,15,59,81,81,80,0.011465,0.008549,0.026203,1,1,1,2115.4
round_robin,1,44,11,15.406,24.729,1.0,1.0,59,0,15,59,85,84,84,0.011465,0.008549,0.026203,1,1,1,2115.4
round_robin,1,45,1,16.143,25.763,1.0,1.0,61,0,11,61,85,85,84,0.012477,0.008714,0.027239,1,1,1,2115.4
round_robin,1,46,11,15.501,24.712,1.0,1.0,62,0,11,62,89,88,88,0.011928,0.008443,0.026133,1,1,1,2115.4
round_robin,1,47,1,15.422,24.584,1.0,1.0,64,0,11,64,89,89,88,0.011533,0.008698,0.026034,1,1,1,2115.4
round_robin,1,48,7,19.214,25.696,1.0,1.0,65,0,10,65,91,91,91,0.01151,0.019777,0.026354,1,1,1,2115.4
round_robin,1,49,4,15.47,24.805,1.0,1.0,67,0,7,67,93,92,92,0.011463,0.008661,0.026287,1,1,1,2115.4
round_robin,1,50,1,15.618,24.849,1.0,1.0,67,0,7,67,93,93,92,0.011906,0.008661,0.026287,1,1,1,2115.4
round_robin,1,51,11,15.658,25.183,1.0,1.0,69,0,7,69,97,96,96,0.011906,0.008409,0.026658,1,1,1,2115.4
round_robin,1,52,1,15.423,24.61,1.0,1.0,70,0,7,70,97,97,96,0.011723,0.008505,0.026042,1,1,1,2115.4
round_robin,1,53,11,15.316,24.634,1.0,1.0,72,0,3,72,101,100,100,0.011464,0.008386,0.026097,1,1,1,2115.4
round_robin,1,54,1,15.74,24.711,1.0,1.0,73,0,3,73,101,101,100,0.011855,0.009226,0.026139,1,1,1,2115.4
round_robin,1,55,11,15.368,24.401,1.0,1.0,75,0,3,75,105,104,104,0.011865,0.008444,0.025794,1,1,1,2115.4
round_robin,1,56,1,15.227,24.363,1.0,1.0,75,0,3,75,105,105,104,0.011485,0.008403,0.025794,1,1,1,2115.4
round_robin,1,57,11,15.339,24.666,1.0,1.0,76,0,3,76,109,108,108,0.011485,0.008403,0.02613,1,1,1,2115.4
round_robin,1,58,1,15.406,24.787,1.0,1.0,78,0,1,78,109,109,108,0.01151,0.008447,0.026262,1,1,1,2115.4
round_robin,1,59,11,15.184,24.213,1.0,1.0,83,0,1,83,113,112,112,0.011523,0.008406,0.025623,1,1,1,2115.4
round_robin,1,60,1,15.277,24.502,1.0,1.0,81,0,1,81,113,113,112,0.011497,0.008386,0.025947,1,1,1,2115.4
round_robin,1,61,11,15.432,24.64,1.0,1.0,80,0,0,80,117,116,116,0.011893,0.008348,0.026056,1,1,1,2115.4
round_robin,1,62,1,15.391,24.614,1.0,1.0,80,0,0,80,117,117,116,0.011634,0.008482,0.026056,1,1,1,2115.4
round_robin,1,63,11,15.388,24.607,1.0,1.0,81,0,0,81,121,120,120,0.011634,0.008482,0.026049,1,1,1,2115.4
round_robin,1,64,1,15.52,24.859,1.0,1.0,83,0,0,83,121,121,120,0.011558,0.008666,0.026337,1,1,1,2115.4
round_robin,1,65,11,15.585,25.288,1.0,1.0,79,0,0,79,125,124,124,0.01151,0.008425,0.026819,1,1,1,2115.4
round_robin,1,66,1,15.961,25.623,1.0,1.0,81,0,0,81,125,125,124,0.012356,0.008431,0.027097,1,1,1,2115.4
round_robin,1,67,11,15.537,24.195,1.0,1.0,83,0,0,83,129,128,128,0.011764,0.00927,0.025576,1,1,1,2115.4
round_robin,1,68,1,15.346,24.664,1.0,1.0,84,0,0,84,129,129,128,0.011525,0.008388,0.026124,1,1,1,2115.4
round_robin,1,69,11,15.346,24.664,1.0,1.0,84,0,0,84,133,132,132,0.011525,0.008388,0.026124,1,1,1,2115.4
round_robin,1,70,1,15.548,24.839,1.0,1.0,81,0,0,81,133,133,132,0.01174,0.008611,0.026294,1,1,1,2115.4
round_robin,1,71,11,15.427,24.828,1.0,1.0,82,0,0,82,137,136,136,0.011561,0.008419,0.026302,1,1,1,2115.4
round_robin,1,72,1,15.298,24.465,1.0,1.0,84,0,0,84,137,137,136,0.011548,0.008445,0.0259,1,1,1,2115.4
round_robin,1,73,0,15.568,24.844,1.0,1.0,80,0,0,80,137,137,136,0.012003,0.008431,0.026271,1,1,1,2115.4
round_robin,1,74,11,15.566,25.215,1.0,1.0,82,0,0,82,141,140,140,0.011531,0.008433,0.026735,1,1,1,2115.4
round_robin,1,75,1,15.575,25.217,1.0,1.0,82,0,0,82,141,141,140,0.011558,0.008433,0.026735,1,1,1,2115.4
round_robin,1,76,11,15.273,24.338,1.0,1.0,84,0,0,84,145,144,144,0.011558,0.008503,0.025758,1,1,1,2115.4
round_robin,1,77,1,15.781,25.707,1.0,1.0,85,0,0,85,145,145,144,0.011518,0.008541,0.027283,1,1,1,2115.4
round_robin,1,78,11,15.408,24.608,1.0,1.0,82,0,0,82,149,148,148,0.011712,0.008471,0.026041,1,1,1,2115.4
round_robin,1,79,1,15.504,25.094,1.0,1.0,83,0,0,83,149,149,148,0.011514,0.008396,0.026603,1,1,1,2115.4
round_robin,1,80,11,15.362,24.698,1.0,1.0,85,0,0,85,153,152,152,0.01151,0.008412,0.026163,1,1,1,2115.4
round_robin,1,81,1,15.372,24.706,1.0,1.0,85,0,0,85,153,153,152,0.011592,0.008361,0.026163,1,1,1,2115.4
round_robin,1,82,11,15.503,25.06,1.0,1.0,80,0,0,80,157,156,156,0.011592,0.008361,0.026556,1,1,1,2115.4
round_robin,1,83,1,15.352,24.576,1.0,1.0,82,0,0,82,157,157,156,0.011603,0.008434,0.026018,1,1,1,2115.4
round_robin,1,84,11,15.694,24.633,1.0,1.0,83,0,0,83,161,160,160,0.011762,0.009258,0.026063,1,1,1,2115.4
round_robin,1,85,1,15.473,25.063,1.0,1.0,85,0,0,85,161,161,160,0.011464,0.008382,0.026574,1,1,1,2115.4
round_robin,1,86,11,15.582,25.287,1.0,1.0,82,0,0,82,165,164,164,0.01148,0.008446,0.026821,1,1,1,2115.4
round_robin,1,87,1,15.589,25.286,1.0,1.0,82,0,0,82,165,165,164,0.011472,0.008473,0.026821,1,1,1,2115.4
round_robin,1,88,11,15.499,25.044,1.0,1.0,83,0,0,83,169,168,168,0.011472,0.008473,0.026552,1,1,1,2115.4
round_robin,1,89,1,15.436,24.921,1.0,1.0,85,0,0,85,169,169,168,0.01155,0.00835,0.026407,1,1,1,2115.4
round_robin,1,90,11,15.564,25.214,1.0,1.0,80,0,0,80,173,172,172,0.011498,0.008455,0.026738,1,1,1,2115.4
round_robin,1,91,1,15.404,24.893,1.0,1.0,82,0,0,82,173,173,172,0.011479,0.00835,0.026383,1,1,1,2115.4
round_robin,1,92,11,15.39,24.746,1.0,1.0,83,0,0,83,177,176,176,0.011551,0.008406,0.026212,1,1,1,2115.4
round_robin,1,93,1,15.294,24.563,1.0,1.0,80,0,0,80,177,177,176,0.011533,0.008338,0.026011,1,1,1,2115.4
round_robin,1,94,11,15.294,24.563,1.0,1.0,80,0,0,80,181,180,180,0.011533,0.008338,0.026011,1,1,1,2115.4
round_robin,1,95,1,15.969,25.259,1.0,1.0,82,0,0,82,181,181,180,0.012083,0.009101,0.026723,1,1,1,2115.4
round_robin,1,96,7,15.492,24.961,1.0,1.0,83,0,0,83,183,183,183,0.011453,0.00856,0.026462,1,1,1,2115.4
round_robin,1,97,4,15.669,24.751,1.0,1.0,85,0,0,85,185,184,184,0.011513,0.009272,0.026222,1,1,1,2115.4
round_robin,1,98,1,15.334,24.659,1.0,1.0,80,0,0,80,185,185,184,0.011516,0.008367,0.026119,1,1,1,2115.4
round_robin,1,99,11,15.621,25.256,1.0,1.0,82,0,0,82,189,188,188,0.011762,0.008347,0.026755,1,1,1,2115.4
round_robin,1,100,1,15.598,25.249,1.0,1.0,82,0,0,82,189,189,188,0.011692,0.008347,0.026755,1,1,1,2115.4
round_robin,1,101,11,15.451,24.776,1.0,1.0,83,0,0,83,193,192,192,0.011692,0.008432,0.02623,1,1,1,2115.4
round_robin,1,102,1,15.398,24.782,1.0,1.0,80,0,0,80,193,193,192,0.011503,0.008432,0.026258,1,1,1,2115.4
round_robin,1,103,11,15.348,24.535,1.0,1.0,82,0,0,82,197,196,196,0.011784,0.008307,0.025952,1,1,1,2115.4
round_robin,1,104,1,15.758,24.931,1.0,1.0,83,0,0,83,197,197,196,0.012574,0.008397,0.026304,1,1,1,2115.4
round_robin,1,105,11,15.392,24.746,1.0,1.0,85,0,0,85,201,200,200,0.011602,0.008367,0.026206,1,1,1,2115.4
round_robin,1,106,1,15.378,24.742,1.0,1.0,85,0,0,85,201,201,200,0.011562,0.008367,0.026206,1,1,1,2115.4
round_robin,1,107,11,15.319,24.539,1.0,1.0,81,0,0,81,205,204,204,0.011562,0.008414,0.025981,1,1,1,2115.4
round_robin,1,108,1,15.205,24.31,1.0,1.0,83,0,0,83,205,205,204,0.01154,0.008346,0.025729,1,1,1,2115.4
round_robin,1,109,11,15.298,24.5,1.0,1.0,84,0,0,84,209,208,208,0.011537,0.008417,0.02594,1,1,1,2115.4
round_robin,1,110,1,15.463,24.954,1.0,1.0,80,0,0,80,209,209,208,0.011531,0.008413,0.026445,1,1,1,2115.4
round_robin,1,111,11,15.506,25.061,1.0,1.0,82,0,0,82,213,212,212,0.011549,0.008406,0.026562,1,1,1,2115.4
round_robin,1,112,1,15.492,25.058,1.0,1.0,82,0,0,82,213,213,212,0.01152,0.008393,0.026562,1,1,1,2115.4
round_robin,1,113,11,15.553,25.223,1.0,1.0,83,0,0,83,217,216,216,0.01152,0.008393,0.026746,1,1,1,2115.4
round_robin,1,114,1,15.964,25.42,1.0,1.0,85,0,0,85,217,217,216,0.012328,0.008689,0.026875,1,1,1,2115.4
round_robin,1,115,11,15.754,25.24,1.0,1.0,81,0,0,81,221,220,220,0.012215,0.00836,0.026687,1,1,1,2115.4
round_robin,1,116,1,15.47,24.991,1.0,1.0,83,0,0,83,221,221,220,0.011494,0.008426,0.026491,1,1,1,2115.4
round_robin,1,117,11,15.289,24.534,1.0,1.0,84,0,0,84,225,224,224,0.011481,0.008403,0.025984,1,1,1,2115.4
round_robin,1,118,1,15.315,24.611,1.0,1.0,80,0,0,80,225,225,224,0.01152,0.008361,0.026065,1,1,1,2115.4
round_robin,1,119,11,15.315,24.611,1.0,1.0,80,0,0,80,229,228,228,0.01152,0.008361,0.026065,1,1,1,2115.4
round_robin,2,0,0,15.622,25.212,1.0,1.0,0,0,0,0,0,0,0,0.011734,0.008423,0.02671,1,1,1,2145.3
round_robin,2,1,1,15.78,24.919,0.3333,0.3333,77,0,0,77,1,0,0,0.012615,0.008439,0.026286,1,1,1,2145.3
round_robin,2,2,1,15.486,25.005,0.6667,0.6667,78,0,0,78,1,1,0,0.011543,0.008413,0.026501,1,1,1,2145.3
round_robin,2,3,11,15.486,24.999,0.9883,0.9883,80,0,0,80,5,4,4,0.011531,0.008431,0.026495,1,1,1,2145.3
round_robin,2,4,1,15.497,25.002,0.9899,0.9899,80,0,0,80,5,5,4,0.011566,0.008431,0.026495,1,1,1,2145.3
round_robin,2,5,11,15.639,25.384,0.9968,0.9968,76,0,0,76,9,8,8,0.011566,0.008433,0.026919,1,1,1,2145.3
round_robin,2,6,1,15.347,24.621,0.9971,0.9971,78,0,0,78,9,9,8,0.011542,0.008424,0.026074,1,1,1,2145.3
