h1_traffic_share,avg_rtt_weighted,throughput_loss,algorithm,trial,avg_decision_latency_us
0.3343065693430657,12.381865076939869,0.9286458333333333,round_robin,1,2115.4
0.33382789317507416,12.008374331550794,0.9297916666666667,round_robin,2,2145.3
0.33382789317507416,12.54278081414384,0.9297916666666667,round_robin,3,2189.1
0.2,12.17580137509549,0.9401041666666666,weighted_round_robin,1,2120.1
0.2,12.919180694095825,0.9401041666666666,weighted_round_robin,2,2048.0
0.2,12.537112086652845,0.9401041666666666,weighted_round_robin,3,2109.4
0.32684824902723736,12.004090832696713,0.9464583333333333,random,1,1829.0
0.3195402298850575,11.691780966932226,0.9546875,random,2,2027.9
0.35157894736842105,12.022479602750192,0.9505208333333334,random,3,1863.9
0.3300970873786408,11.986664782276545,0.9463541666666667,least_connections,1,2228.2
0.2924731182795699,12.691766004583652,0.9515625,least_connections,2,2137.7
0.3720430107526882,11.790937847866424,0.9515625,least_connections,3,1991.3
0.33217391304347826,12.56092020393239,0.9401041666666666,hash_based,1,1770.1
0.3504424778761062,12.134147669977082,0.9411458333333333,hash_based,2,2068.5
0.32989690721649484,12.207603590527114,0.9494791666666667,hash_based,3,1771.9
0.3333333333333333,14.303147249809014,0.9296875,ecmp,1,1938.4
0.33382789317507416,13.902676006766344,0.9297916666666667,ecmp,2,2100.3
0.3333333333333333,13.908346065699003,0.9296875,ecmp,3,2038.1
0.0,12.616714285714288,0.9665625,drl,1,2485.0
0.0,12.493647058823534,0.976875,drl,2,2568.9
0.0,12.522941176470596,0.9767708333333334,drl,3,1856.8
